image,mask
ORIGA/train/image/001.jpg,ORIGA/train/mask/001.png
ORIGA/train/image/002.jpg,ORIGA/train/mask/002.png
ORIGA/train/image/003.jpg,ORIGA/train/mask/003.png
ORIGA/train/image/004.jpg,ORIGA/train/mask/004.png
ORIGA/train/image/005.jpg,ORIGA/train/mask/005.png
ORIGA/train/image/006.jpg,ORIGA/train/mask/006.png
ORIGA/train/image/007.jpg,ORIGA/train/mask/007.png
ORIGA/train/image/008.jpg,ORIGA/train/mask/008.png
ORIGA/train/image/009.jpg,ORIGA/train/mask/009.png
ORIGA/train/image/010.jpg,ORIGA/train/mask/010.png
ORIGA/train/image/011.jpg,ORIGA/train/mask/011.png
ORIGA/train/image/012.jpg,ORIGA/train/mask/012.png
ORIGA/train/image/013.jpg,ORIGA/train/mask/013.png
ORIGA/train/image/014.jpg,ORIGA/train/mask/014.png
ORIGA/train/image/015.jpg,ORIGA/train/mask/015.png
ORIGA/train/image/016.jpg,ORIGA/train/mask/016.png
ORIGA/train/image/017.jpg,ORIGA/train/mask/017.png
ORIGA/train/image/018.jpg,ORIGA/train/mask/018.png
ORIGA/train/image/019.jpg,ORIGA/train/mask/019.png
ORIGA/train/image/020.jpg,ORIGA/train/mask/020.png
ORIGA/train/image/021.jpg,ORIGA/train/mask/021.png
ORIGA/train/image/022.jpg,ORIGA/train/mask/022.png
ORIGA/train/image/023.jpg,ORIGA/train/mask/023.png
ORIGA/train/image/024.jpg,ORIGA/train/mask/024.png
ORIGA/train/image/025.jpg,ORIGA/train/mask/025.png
ORIGA/train/image/026.jpg,ORIGA/train/mask/026.png
ORIGA/train/image/027.jpg,ORIGA/train/mask/027.png
ORIGA/train/image/028.jpg,ORIGA/train/mask/028.png
ORIGA/train/image/029.jpg,ORIGA/train/mask/029.png
ORIGA/train/image/030.jpg,ORIGA/train/mask/030.png
ORIGA/train/image/031.jpg,ORIGA/train/mask/031.png
ORIGA/train/image/032.jpg,ORIGA/train/mask/032.png
ORIGA/train/image/033.jpg,ORIGA/train/mask/033.png
ORIGA/train/image/034.jpg,ORIGA/train/mask/034.png
ORIGA/train/image/035.jpg,ORIGA/train/mask/035.png
ORIGA/train/image/036.jpg,ORIGA/train/mask/036.png
ORIGA/train/image/037.jpg,ORIGA/train/mask/037.png
ORIGA/train/image/038.jpg,ORIGA/train/mask/038.png
ORIGA/train/image/039.jpg,ORIGA/train/mask/039.png
ORIGA/train/image/040.jpg,ORIGA/train/mask/040.png
ORIGA/train/image/041.jpg,ORIGA/train/mask/041.png
ORIGA/train/image/042.jpg,ORIGA/train/mask/042.png
ORIGA/train/image/043.jpg,ORIGA/train/mask/043.png
