image,mask
RIM_ONE_r3/train/image/G-1-L.png,RIM_ONE_r3/train/mask/G-1-L.png
RIM_ONE_r3/train/image/G-10-L.png,RIM_ONE_r3/train/mask/G-10-L.png
RIM_ONE_r3/train/image/G-11-R.png,RIM_ONE_r3/train/mask/G-11-R.png
RIM_ONE_r3/train/image/G-12-L.png,RIM_ONE_r3/train/mask/G-12-L.png
RIM_ONE_r3/train/image/G-13-R.png,RIM_ONE_r3/train/mask/G-13-R.png
RIM_ONE_r3/train/image/G-14-R.png,RIM_ONE_r3/train/mask/G-14-R.png
RIM_ONE_r3/train/image/G-15-L.png,RIM_ONE_r3/train/mask/G-15-L.png
RIM_ONE_r3/train/image/G-16-R.png,RIM_ONE_r3/train/mask/G-16-R.png
RIM_ONE_r3/train/image/G-17-L.png,RIM_ONE_r3/train/mask/G-17-L.png
RIM_ONE_r3/train/image/G-18-R.png,RIM_ONE_r3/train/mask/G-18-R.png
RIM_ONE_r3/train/image/G-19-R.png,RIM_ONE_r3/train/mask/G-19-R.png
RIM_ONE_r3/train/image/G-20-L.png,RIM_ONE_r3/train/mask/G-20-L.png
RIM_ONE_r3/train/image/G-21-R.png,RIM_ONE_r3/train/mask/G-21-R.png
RIM_ONE_r3/train/image/G-3-R.png,RIM_ONE_r3/train/mask/G-3-R.png
RIM_ONE_r3/train/image/G-32-L.png,RIM_ONE_r3/train/mask/G-32-L.png
RIM_ONE_r3/train/image/G-33-R.png,RIM_ONE_r3/train/mask/G-33-R.png
RIM_ONE_r3/train/image/G-34-L.png,RIM_ONE_r3/train/mask/G-34-L.png
RIM_ONE_r3/train/image/G-35-R.png,RIM_ONE_r3/train/mask/G-35-R.png
RIM_ONE_r3/train/image/G-36-R.png,RIM_ONE_r3/train/mask/G-36-R.png
RIM_ONE_r3/train/image/G-37-R.png,RIM_ONE_r3/train/mask/G-37-R.png
RIM_ONE_r3/train/image/G-38-L.png,RIM_ONE_r3/train/mask/G-38-L.png
RIM_ONE_r3/train/image/G-39-L.png,RIM_ONE_r3/train/mask/G-39-L.png
RIM_ONE_r3/train/image/G-4-L.png,RIM_ONE_r3/train/mask/G-4-L.png
RIM_ONE_r3/train/image/G-5-R.png,RIM_ONE_r3/train/mask/G-5-R.png
RIM_ONE_r3/train/image/G-6-L.png,RIM_ONE_r3/train/mask/G-6-L.png
RIM_ONE_r3/train/image/G-7-L.png,RIM_ONE_r3/train/mask/G-7-L.png
RIM_ONE_r3/train/image/G-8-R.png,RIM_ONE_r3/train/mask/G-8-R.png
RIM_ONE_r3/train/image/G-9-R.png,RIM_ONE_r3/train/mask/G-9-R.png
RIM_ONE_r3/train/image/N-10-R.png,RIM_ONE_r3/train/mask/N-10-R.png
RIM_ONE_r3/train/image/N-11-L.png,RIM_ONE_r3/train/mask/N-11-L.png
RIM_ONE_r3/train/image/N-12-R.png,RIM_ONE_r3/train/mask/N-12-R.png
RIM_ONE_r3/train/image/N-13-L.png,RIM_ONE_r3/train/mask/N-13-L.png
RIM_ONE_r3/train/image/N-14-R.png,RIM_ONE_r3/train/mask/N-14-R.png
RIM_ONE_r3/train/image/N-16-R.png,RIM_ONE_r3/train/mask/N-16-R.png
RIM_ONE_r3/train/image/N-24-R.png,RIM_ONE_r3/train/mask/N-24-R.png
RIM_ONE_r3/train/image/N-25-L.png,RIM_ONE_r3/train/mask/N-25-L.png
RIM_ONE_r3/train/image/N-26-R.png,RIM_ONE_r3/train/mask/N-26-R.png
RIM_ONE_r3/train/image/N-27-L.png,RIM_ONE_r3/train/mask/N-27-L.png
RIM_ONE_r3/train/image/N-5-L.png,RIM_ONE_r3/train/mask/N-5-L.png
RIM_ONE_r3/train/image/N-52-R.png,RIM_ONE_r3/train/mask/N-52-R.png
RIM_ONE_r3/train/image/N-53-L.png,RIM_ONE_r3/train/mask/N-53-L.png
RIM_ONE_r3/train/image/N-54-R.png,RIM_ONE_r3/train/mask/N-54-R.png
RIM_ONE_r3/train/image/N-55-L.png,RIM_ONE_r3/train/mask/N-55-L.png
RIM_ONE_r3/train/image/N-56-R.png,RIM_ONE_r3/train/mask/N-56-R.png
RIM_ONE_r3/train/image/N-58-R.png,RIM_ONE_r3/train/mask/N-58-R.png
RIM_ONE_r3/train/image/N-59-L.png,RIM_ONE_r3/train/mask/N-59-L.png
RIM_ONE_r3/train/image/N-6-R.png,RIM_ONE_r3/train/mask/N-6-R.png
RIM_ONE_r3/train/image/N-61-L.png,RIM_ONE_r3/train/mask/N-61-L.png
RIM_ONE_r3/train/image/N-62-R.png,RIM_ONE_r3/train/mask/N-62-R.png
RIM_ONE_r3/train/image/N-63-L.png,RIM_ONE_r3/train/mask/N-63-L.png
RIM_ONE_r3/train/image/N-64-R.png,RIM_ONE_r3/train/mask/N-64-R.png
RIM_ONE_r3/train/image/N-65-L.png,RIM_ONE_r3/train/mask/N-65-L.png
RIM_ONE_r3/train/image/N-66-R.png,RIM_ONE_r3/train/mask/N-66-R.png
RIM_ONE_r3/train/image/N-67-L.png,RIM_ONE_r3/train/mask/N-67-L.png
RIM_ONE_r3/train/image/N-68-R.png,RIM_ONE_r3/train/mask/N-68-R.png
RIM_ONE_r3/train/image/N-69-L.png,RIM_ONE_r3/train/mask/N-69-L.png
RIM_ONE_r3/train/image/N-7-L.png,RIM_ONE_r3/train/mask/N-7-L.png
